base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.043,1.115,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,69,C21,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,161,G17,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.041,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,196,I4,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,1.119,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,236,J20,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.051,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,72,C24,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.138,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,77,D5,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,4,A4,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.852,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,337,O1,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.794,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,37,B13,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.068,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,38,B14,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.11,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,21,A21,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.047,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,34,B10,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.133,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,143,F23,4,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.045,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,251,K11,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.049,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,37,B13,4,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,1.004,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,308,M20,4,True,False,S. mutans UA159,aerobic
