base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.044,0.954,Plate 1$fe8856866a7678773483ad49870edc160e621acc,98,E2,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.069,0.95,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,6,A6,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.978,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,278,L14,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.128,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,224,J8,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.094,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,30,B6,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.049,0.862,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,137,F17,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.722,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,290,M2,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.977,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,252,K12,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.836,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,51,C3,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.071,1.014,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,6,A6,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.089,1.012,Plate 1$fe8856866a7678773483ad49870edc160e621acc,146,G2,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.998,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,73,D1,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.072,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,81,D9,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.092,1.201,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,106,E10,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.184,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,235,J19,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.992,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,111,E15,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.926,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,35,B11,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,1.048,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,57,C9,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.865,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,66,C18,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.038,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,11,A11,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.859,Plate 1$fe8856866a7678773483ad49870edc160e621acc,191,H23,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.971,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,239,J23,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.799,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,280,L16,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.129,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,166,G22,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.893,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,177,H9,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.99,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,118,E22,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.125,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,151,G7,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.028,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,300,M12,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.189,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,169,H1,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,0.807,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,341,O5,9,True,False,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_glutamine_75x,l_histidine_75x,l_isoleucine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_phenylalanine_75x,l_threonine_75x,l_tryptophan_75x,prolines_75x,0.053,1.114,Plate 1$fe8856866a7678773483ad49870edc160e621acc,294,M6,1,False,False,S. mutans UA159,aerobic
