base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,leave_out_18,leave_out_19,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.791,Plate 6$34d4a6463c2c4d8d2e44dfc61133609b0b2c4032,211,I19,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.78,Plate 7$27b50f751e859212acc2b48ae85304065919d4c8,73,D1,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 7$27b50f751e859212acc2b48ae85304065919d4c8,318,N6,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 8$bb0bf0a159a976f88fd89bf504e92256182a2eed,259,K19,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.71,Plate 8$bb0bf0a159a976f88fd89bf504e92256182a2eed,300,M12,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.643,Plate 9$9ea91054b5c547c778e10694775814bd8507ef9d,303,M15,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.048,Plate 9$9ea91054b5c547c778e10694775814bd8507ef9d,305,M17,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 1$7e066d31dcaa2a7363ad1b560d6c957b937d1ddd,117,E21,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.714,Plate 1$7e066d31dcaa2a7363ad1b560d6c957b937d1ddd,236,J20,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.57,Plate 10$8b2559714b17f6642621bc9030f86387de29dde3,153,G9,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.046,Plate 10$8b2559714b17f6642621bc9030f86387de29dde3,275,L11,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.053,Plate 11$fa084b1f661da645d01f4c169cf00ecab2d5b100,119,E23,3,False,True,S. mutans UA159,anaerobic
