ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,strain,fitness
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,aerobic,S. gordonii CH1,0.002521471909227009
0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,aerobic,S. gordonii CH1,0.00358780147498505
0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,aerobic,S. gordonii CH1,0.00189274447949527
0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,aerobic,S. gordonii CH1,0.001790332206087127
0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,aerobic,S. gordonii CH1,0.0012618296529968466
0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,aerobic,S. gordonii CH1,0.0011935548040580832
0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,aerobic,S. gordonii CH1,0.0018961839298411915
0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,aerobic,S. gordonii CH1,0.0012641226198941307
0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,aerobic,S. gordonii CH1,0.002416918429003019
0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,aerobic,S. gordonii CH1,0.0006303679773067489
0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,aerobic,S. gordonii CH1,0.0018193303853442802
0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,aerobic,S. gordonii CH1,0.0012731082407235464
0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,aerobic,S. gordonii CH1,0.001742750641429053
0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,aerobic,S. gordonii CH1,0.0012671259998416104
0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,aerobic,S. gordonii CH1,0.0017939007374925227
0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,aerobic,S. gordonii CH1,0.0018126888217522633
0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,aerobic,S. gordonii CH1,0.0006303679773067534
0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,aerobic,S. gordonii CH1,0.0012128869235628562
0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,aerobic,S. gordonii CH1,0.003819324722170648
0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,aerobic,S. gordonii CH1,0.002904584402381762
0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,aerobic,S. gordonii CH1,0.0031678149996040212
0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,aerobic,S. gordonii CH1,0.0023918676499900316
0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,aerobic,S. gordonii CH1,0.0012618296529968423
0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,aerobic,S. gordonii CH1,0.0029838870101452143
0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,aerobic,S. gordonii CH1,0.0012641226198941264
0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,aerobic,S. gordonii CH1,0.0023918676499900316
0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,aerobic,S. gordonii CH1,0.0018927444794952656
0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,aerobic,S. gordonii CH1,0.0011935548040580832
0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,aerobic,S. gordonii CH1,0.0006320613099470654
0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,aerobic,S. gordonii CH1,0.0030211480362537747
0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,aerobic,S. gordonii CH1,0.0006303679773067534
0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,aerobic,S. gordonii CH1,0.0024257738471257125
0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,aerobic,S. gordonii CH1,0.002546216481447102
0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,aerobic,S. gordonii CH1,0.0023236675219054097
0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,aerobic,S. gordonii CH1,0.001900688999762411
0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,aerobic,S. gordonii CH1,0.002416918429003019
0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,aerobic,S. gordonii CH1,0.0037822078638405157
