ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0.8032312106792137
0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0.7972630849589594
0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0.7401080459094017
0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1.0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.16786260873873304
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0
0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.7986978980694612
0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1.0
0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1.0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.0
0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1.0
0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.0
0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1.0
0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1.0
0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0.18033962780308183
0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5253199711173003
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0.49869896095100613
0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1.0
