ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,anaerobic,0.7961736571008093
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anaerobic,0.8934695366654504
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,anaerobic,0.05793178126691932
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,anaerobic,1.0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.08109280138768431
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anaerobic,0.047299043680537625
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,anaerobic,0.05155054369714055
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.08231855820750121
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,anaerobic,0.8500547245530828
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,anaerobic,0.8013245033112583
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.14298615291992778
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,anaerobic,0.8409182440596054
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.22817579771222155
0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,anaerobic,0.13589604764482946
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,anaerobic,0.15489330389992642
0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,anaerobic,0.16706803130644193
0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,anaerobic,0.04440026507620941
0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,anaerobic,0.8938819707633999
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,anaerobic,1.0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,anaerobic,0.34373780725712055
0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,anaerobic,0.8476821192052979
0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,anaerobic,1.0
0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,anaerobic,0.1884207805634531
0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,anaerobic,0.3722200546234881
0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,anaerobic,0.1785950960901259
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.06532209512341965
0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,anaerobic,1.0
0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,anaerobic,0.7744763760350705
0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,anaerobic,0.7480485689505638
0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,anaerobic,0.2740986019131714
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.2653946227233305
0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,anaerobic,0.8154506437768241
0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,anaerobic,0.9583694709453598
0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,anaerobic,0.7964266377910123
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,anaerobic,0.6818364881192107
0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,anaerobic,0.7218543046357616
0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,anaerobic,1.0
0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,anaerobic,0.5504140282513394
0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,anaerobic,0.8850823937554206
0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,anaerobic,0.8487981390540192
0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,anaerobic,0.9149434256730394
0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,anaerobic,0.9105960264900663
0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,anaerobic,0.06539157405014216
0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,anaerobic,1.0
0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,anaerobic,0.8795811518324609
0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,anaerobic,0.7302829620710415
0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,anaerobic,0.6326158336373585
0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,anaerobic,0.7579152459814904
0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,anaerobic,0.9100542775911089
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,anaerobic,0.8475058154561903
0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,anaerobic,1.0
0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,anaerobic,1.0
0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,anaerobic,0.9996320824135392
0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,anaerobic,1.0
0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,anaerobic,0.6497628602699744
0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,anaerobic,0.04493773687060098
0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,anaerobic,0.06773028296207104
0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,anaerobic,0.9350601970083909
0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,anaerobic,0.030686799805163176
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,anaerobic,0.098438855160451
0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,anaerobic,0.9444300852933577
0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,anaerobic,0.9968786578228639
0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,anaerobic,0.2983811626195732
0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,anaerobic,0.525844930417495
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.9323226854358417
