ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,aerobic,0.003963884606914777
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,aerobic,0.0
1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,aerobic,0.4820761762509336
1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,aerobic,0.00443276966015433
1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,aerobic,0.9628942486085342
1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,aerobic,0.3630257652499449
1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,aerobic,1.0
1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,aerobic,1.0
1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,aerobic,0.0
1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,aerobic,0.41264763779527563
1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,aerobic,0.9103627584499195
1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,aerobic,0.0
1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,aerobic,0.0
1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,aerobic,0.0
1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,aerobic,0.013096147549929067
1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,aerobic,0.0
1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,aerobic,0.0
1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,aerobic,0.007168458781362009
1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,aerobic,0.0
1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,aerobic,0.7075369635773531
