Card,# Epochs,Loss,Grow,No Grow
16,1000,custom - te/tr split,0.588,0.412
17,5,binary CE,0.742,0.258
17,5,binary CE - te/tr split,0.469,0.531
17,5,custom,0.647,0.353
17,5,custom - te/tr split,0.337,0.663
17,10,binary CE,0.599,0.401
17,10,binary CE - te/tr split,0.606,0.394
17,10,custom,0.75,0.25
17,10,custom - te/tr split,0.672,0.328
17,20,binary CE,0.602,0.398
17,20,binary CE - te/tr split,0.711,0.289
17,20,custom,0.637,0.363
17,20,custom - te/tr split,0.689,0.311
17,100,binary CE,0.572,0.428
17,100,binary CE - te/tr split,0.579,0.421
17,100,custom,0.564,0.436
17,100,custom - te/tr split,0.639,0.361
17,1000,binary CE,0.589,0.411
17,1000,binary CE - te/tr split,0.676,0.324
17,1000,custom,0.595,0.405
17,1000,custom - te/tr split,0.619,0.381
18,5,binary CE,0.858,0.142
18,5,binary CE - te/tr split,0.632,0.368
18,5,custom,0.789,0.211
18,5,custom - te/tr split,0.432,0.568
18,10,binary CE,0.711,0.289
18,10,binary CE - te/tr split,0.716,0.284
18,10,custom,0.811,0.189
18,10,custom - te/tr split,0.805,0.195
18,20,binary CE,0.695,0.305
18,20,binary CE - te/tr split,0.795,0.205
18,20,custom,0.7,0.3
18,20,custom - te/tr split,0.763,0.237
18,100,binary CE,0.653,0.347
18,100,binary CE - te/tr split,0.663,0.337
18,100,custom,0.642,0.358
18,100,custom - te/tr split,0.7,0.3
18,1000,binary CE,0.626,0.374
18,1000,binary CE - te/tr split,0.684,0.316
18,1000,custom,0.637,0.363
18,1000,custom - te/tr split,0.668,0.332
19,5,binary CE,0.95,0.05
19,5,binary CE - te/tr split,0.85,0.15
19,5,custom,0.95,0.05
19,5,custom - te/tr split,0.65,0.35
19,10,binary CE,0.85,0.15
19,10,binary CE - te/tr split,0.8,0.2
19,10,custom,0.9,0.1
19,10,custom - te/tr split,0.9,0.1
19,20,binary CE,0.8,0.2
19,20,binary CE - te/tr split,0.85,0.15
19,20,custom,0.85,0.15
19,20,custom - te/tr split,0.85,0.15
19,100,binary CE,0.8,0.2
19,100,binary CE - te/tr split,0.8,0.2
19,100,custom,0.8,0.2
19,100,custom - te/tr split,0.8,0.2
19,1000,binary CE,0.8,0.2
19,1000,binary CE - te/tr split,0.75,0.25
19,1000,custom,0.8,0.2
19,1000,custom - te/tr split,0.8,0.2
20,5,binary CE,1.0,0.0
20,5,binary CE - te/tr split,1.0,0.0
20,5,custom,1.0,0.0
20,5,custom - te/tr split,1.0,0.0
20,10,binary CE,1.0,0.0
20,10,binary CE - te/tr split,1.0,0.0
20,10,custom,1.0,0.0
20,10,custom - te/tr split,1.0,0.0
20,20,binary CE,1.0,0.0
20,20,binary CE - te/tr split,1.0,0.0
20,20,custom,1.0,0.0
20,20,custom - te/tr split,1.0,0.0
20,100,binary CE,1.0,0.0
20,100,binary CE - te/tr split,1.0,0.0
20,100,custom,1.0,0.0
20,100,custom - te/tr split,1.0,0.0
20,1000,binary CE,1.0,0.0
20,1000,binary CE - te/tr split,1.0,0.0
20,1000,custom,1.0,0.0
20,1000,custom - te/tr split,1.0,0.0
