Card,# Epochs,Loss,Grow,No Grow
19,20,custom,0.0,1.0
19,20,custom - te/tr split,0.0,1.0
19,100,binary CE,0.0,1.0
19,100,binary CE - te/tr split,0.0,1.0
19,100,custom,0.0,1.0
19,100,custom - te/tr split,0.0,1.0
19,1000,binary CE,0.0,1.0
19,1000,binary CE - te/tr split,0.0,1.0
19,1000,custom,0.0,1.0
19,1000,custom - te/tr split,0.0,1.0
20,5,binary CE,0.0,1.0
20,5,binary CE - te/tr split,0.0,1.0
20,5,custom,0.0,1.0
20,5,custom - te/tr split,0.0,1.0
20,10,binary CE,0.0,1.0
20,10,binary CE - te/tr split,0.0,1.0
20,10,custom,0.0,1.0
20,10,custom - te/tr split,0.0,1.0
20,20,binary CE,0.0,1.0
20,20,binary CE - te/tr split,0.0,1.0
20,20,custom,0.0,1.0
20,20,custom - te/tr split,0.0,1.0
20,100,binary CE,0.0,1.0
20,100,binary CE - te/tr split,0.0,1.0
20,100,custom,0.0,1.0
20,100,custom - te/tr split,0.0,1.0
20,1000,binary CE,0.0,1.0
20,1000,binary CE - te/tr split,0.0,1.0
20,1000,custom,0.0,1.0
20,1000,custom - te/tr split,0.0,1.0
