Card,# Epochs,Loss,Grow,No Grow
19,10,binary CE - te/tr split,1.0,0.0
19,10,custom,1.0,0.0
19,10,custom - te/tr split,1.0,0.0
19,20,binary CE,0.95,0.05
19,20,binary CE - te/tr split,1.0,0.0
19,20,custom,0.95,0.05
19,20,custom - te/tr split,1.0,0.0
19,100,binary CE,0.8,0.2
19,100,binary CE - te/tr split,0.8,0.2
19,100,custom,0.8,0.2
19,100,custom - te/tr split,0.8,0.2
19,1000,binary CE,0.8,0.2
19,1000,binary CE - te/tr split,0.75,0.25
19,1000,custom,0.85,0.15
19,1000,custom - te/tr split,0.7,0.3
20,5,binary CE,1.0,0.0
20,5,binary CE - te/tr split,1.0,0.0
20,5,custom,1.0,0.0
20,5,custom - te/tr split,1.0,0.0
20,10,binary CE,1.0,0.0
20,10,binary CE - te/tr split,1.0,0.0
20,10,custom,1.0,0.0
20,10,custom - te/tr split,1.0,0.0
20,20,binary CE,1.0,0.0
20,20,binary CE - te/tr split,1.0,0.0
20,20,custom,1.0,0.0
20,20,custom - te/tr split,1.0,0.0
20,100,binary CE,1.0,0.0
20,100,binary CE - te/tr split,1.0,0.0
20,100,custom,1.0,0.0
20,100,custom - te/tr split,1.0,0.0
20,1000,binary CE,1.0,0.0
20,1000,binary CE - te/tr split,1.0,0.0
20,1000,custom,1.0,0.0
20,1000,custom - te/tr split,1.0,0.0
